Name,Action Family,Action,Timestamp
Jeison Murillo,Defensive Game,Tackle,0:00:05
Jeison Murillo,Defensive Game,Tackle,0:00:05
Jeison Murillo,Defensive Game,Tackle in Defensive Zone,0:00:08
Jeison Murillo,Defensive Game,Tackle in Defensive Zone,0:00:08
Gonzalo Higuaín,Defensive Game,Tackle in Defensive Zone,0:00:12
Gonzalo Higuaín,Defensive Game,Tackle in Defensive Zone,0:00:12
Robert Lewandowski,Defensive Game,Tackle in Defensive Zone,0:00:17
Robert Lewandowski,Defensive Game,Tackle in Defensive Zone,0:00:18
Robert Lewandowski,Defensive Game,Tackle in Defensive Zone,0:00:18
Cristiano Ronaldo,Defensive Game,Tackle in Defensive Zone,0:00:22
Cristiano Ronaldo,Defensive Game,Tackle in Defensive Zone,0:00:22
Cristiano Ronaldo,Defensive Game,Tackle in Defensive Zone,0:00:23
Luis Suárez,Shooting Game,Set Piece,0:00:35
Mats Hummels,Shooting Game,Set Piece,0:00:38
Robert Lewandowski,Shooting Game,Set Piece,0:00:43
Kyriakos Papadopoulos,Shooting Game,Shot Inside the box,0:00:10
Kyriakos Papadopoulos,Shooting Game,Shot Inside the box,0:00:11
