Name,Action Family,Action,Timestamp
Lionel Messi,Defensive Game,Tackle,0:00:04
Lionel Messi,Shooting Game,Set Piece,0:00:07
Kevin De Bruyne,Defensive Game,Tackle,0:00:10
Kevin De Bruyne,Passing Game,Unsuccessful Pass,0:00:14
Cristiano Ronaldo,Shooting Game,Header,0:00:18
Arjen Robben,Passing Game,Pass above ground,0:00:24
Arjen Robben,Shooting Game,Shot Inside the box,0:00:27
Mats Hummels,Defensive Game,Possession Turnover Won,0:00:34
Kevin De Bruyne,Passing Game,Long Pass,0:00:38
Arjen Robben,Shooting Game,Set Piece,0:00:43
Thibaut Courtois,Passing Game,Pass above ground,0:00:48
Arjen Robben,Defensive Game,Foul Conceded,0:00:53
Thibaut Courtois,Passing Game,Unsuccessful Pass,0:00:59
Thibaut Courtois,Defensive Game,Foul Conceded,0:01:08
Arjen Robben,Passing Game,Long Pass,0:01:12
Arjen Robben,Passing Game,Long Pass,0:01:12
N'Golo Kanté,Defensive Game,Tackle in Defensive Zone,0:01:18
