Name,Action Family,Action,Timestamp
Lionel Messi,Defensive Game,Tackle,0:00:01
Jérôme Boateng,Shooting Game,Shot on Target,0:00:05
Jérôme Boateng,Shooting Game,Shot on Target,0:00:05
Jérôme Boateng,Defensive Game,Tackle,0:00:07
Jérôme Boateng,Defensive Game,Tackle,0:00:07
Asamoah Gyan,Defensive Game,Tackle,0:00:09
Asamoah Gyan,Defensive Game,Tackle,0:00:09
Asamoah Gyan,Shooting Game,Goal,0:00:12
Asamoah Gyan,Shooting Game,Goal,0:00:12
Mauro Icardi,Shooting Game,Goal,0:00:14
Mauro Icardi,Passing Game,Pass above ground,0:00:16
Mauro Icardi,Defensive Game,Possession Turnover Won,0:00:19
Dries Mertens,Defensive Game,Possession Turnover Won,0:00:20
Mats Hummels,Defensive Game,Tackle Won,0:00:25
Mats Hummels,Shooting Game,Shot on Target,0:00:27
Saleh Gomaa,Passing Game,Pass above ground,0:00:33
Saleh Gomaa,Passing Game,Unsuccessful Pass,0:00:35
Saleh Gomaa,Shooting Game,Set Piece,0:00:38
Asamoah Gyan,Shooting Game,Set Piece,0:00:40
