Name,Action Family,Action,Timestamp
Lionel Messi,Defensive Game,Tackle,0:00:01
Lionel Messi,Defensive Game,Tackle,0:00:01
Lionel Messi,Defensive Game,Tackle,0:00:01
Lionel Messi,Defensive Game,Tackle,0:00:02
Lionel Messi,Defensive Game,Tackle,0:00:02
Lionel Messi,Defensive Game,Tackle,0:00:02
Lionel Messi,Defensive Game,Tackle,0:00:02
Lionel Messi,Defensive Game,Tackle,0:00:02
Gianluigi Buffon,Shooting Game,Set Piece,0:00:05
Gianluigi Buffon,Shooting Game,Set Piece,0:00:06
Alexandre Lacazette,Passing Game,Pass,0:00:08
Alexandre Lacazette,Passing Game,Pass,0:00:08
Lionel Messi,Defensive Game,Pass Interception Won,0:00:12
Lionel Messi,Defensive Game,Pass Interception Won,0:00:12
Jesús Navas,Passing Game,Pass above ground,0:00:16
Jesús Navas,Passing Game,Pass above ground,0:00:17
Cristiano Ronaldo,Defensive Game,Foul Conceded,0:00:23
Cristiano Ronaldo,Defensive Game,Foul Conceded,0:00:23
Jesús Navas,Shooting Game,Right foot,0:00:33
Jesús Navas,Shooting Game,Right foot,0:00:33
Jesús Navas,Shooting Game,Right foot,0:00:33
Cristiano Ronaldo,Passing Game,Unsuccessful Pass,0:00:39
Cristiano Ronaldo,Passing Game,Unsuccessful Pass,0:00:39
