Name,Action Family,Action,Timestamp
Lionel Messi,Defensive Game,Tackle,0:00:07
Lionel Messi,Defensive Game,Tackle,0:00:07
Lionel Messi,Defensive Game,Tackle,0:00:08
Lionel Messi,Defensive Game,Tackle,0:00:08
Lionel Messi,Defensive Game,Tackle,0:00:08
Lionel Messi,Defensive Game,Tackle,0:00:08
Lionel Messi,Defensive Game,Tackle,0:00:08
Lionel Messi,Defensive Game,Tackle,0:00:09
Mats Hummels,Passing Game,Pass above ground,0:00:17
De Gea,Passing Game,Long Pass,0:00:21
Gianluigi Buffon,Defensive Game,Tackle,0:00:21
