Name,Action Family,Action,Timestamp
11,Defensive Game,Tackle,0:00:00
11,Defensive Game,Tackle,0:00:00
11,Defensive Game,Tackle,0:00:00
11,Defensive Game,Tackle,0:00:00
11,Defensive Game,Tackle,0:00:00
11,Defensive Game,Tackle,0:00:00
11,Defensive Game,Tackle,0:00:00
11,Defensive Game,Tackle,0:00:00
11,Defensive Game,Tackle,0:00:00
44,Defensive Game,Tackle,0:00:00
44,Defensive Game,Tackle,0:00:00
44,Defensive Game,Tackle,0:00:00
Luis Suárez,Defensive Game,Tackle,0:01:02
Luis Suárez,Defensive Game,Tackle,0:01:02
11,Shooting Game,Goal,0:01:06
Cesc Fàbregas,Passing Game,Long Pass,0:01:10
