Name,Action Family,Action,Timestamp
Lionel Messi,Shooting Game,Goal,0:00:04
Lionel Messi,Shooting Game,Goal,0:00:04
Cristiano Ronaldo,Defensive Game,Tackle,0:00:06
Cristiano Ronaldo,Defensive Game,Pass Interception Won,0:00:08
Radja Nainggolan,Passing Game,Pass above ground,0:00:16
Radja Nainggolan,Passing Game,Pass above ground,0:00:16
Lionel Messi,Shooting Game,Goal,0:00:27
Georges Mandjeck,Passing Game,Pass,0:00:36
Georges Mandjeck,Passing Game,Pass,0:00:36
Georges Mandjeck,Passing Game,Pass,0:00:36
Georges Mandjeck,Passing Game,Pass,0:00:36
Kevin De Bruyne,Passing Game,Pass,0:00:41
Kevin De Bruyne,Passing Game,Pass,0:00:42
Kevin De Bruyne,Passing Game,Pass,0:00:42
