Name,Action Family,Action,Timestamp
Lionel Messi,Defensive Game,Tackle,0:02:14
Lionel Messi,Defensive Game,Tackle,0:02:15
Lionel Messi,Defensive Game,Tackle,0:02:15
Cristiano Ronaldo,Defensive Game,Tackle,0:02:18
Cristiano Ronaldo,Defensive Game,Tackle,0:02:19
Cristiano Ronaldo,Defensive Game,Tackle,0:02:19
Cristiano Ronaldo,Defensive Game,Tackle,0:02:19
Leonardo Bonucci,Defensive Game,Tackle,0:02:24
Leonardo Bonucci,Defensive Game,Tackle,0:02:24
Leonardo Bonucci,Defensive Game,Tackle,0:02:24
Kamil Glik,Shooting Game,Goal,0:02:31
Kamil Glik,Shooting Game,Goal,0:02:31
Alfred Duncan,Shooting Game,Goal,0:02:36
Alfred Duncan,Shooting Game,Shot on Target,0:02:39
Douglas Costa,Passing Game,Pass,0:02:45
Alfred Duncan,Passing Game,Long Pass,0:00:08
Alfred Duncan,Passing Game,Long Pass,0:00:08
Alfred Duncan,Passing Game,Long Pass,0:00:08
Alfred Duncan,Shooting Game,Goal,0:00:11
Leonardo Bonucci,Shooting Game,Goal,0:00:17
Leonardo Bonucci,Passing Game,Pass,0:00:20
Leonardo Bonucci,Defensive Game,Tackle,0:00:23
Lionel Messi,Defensive Game,Tackle in Defensive Zone,0:00:29
Lionel Messi,Defensive Game,Tackle in Defensive Zone,0:00:30
Lionel Messi,Defensive Game,Pass Interception Won,0:00:33
Lionel Messi,Defensive Game,Pass Interception Won,0:00:34
Lionel Messi,Passing Game,Long Pass,0:00:40
Lionel Messi,Passing Game,Long Pass,0:00:40
Lionel Messi,Passing Game,Unsuccessful Pass,0:00:43
Lionel Messi,Passing Game,Unsuccessful Pass,0:00:43
Lionel Messi,Passing Game,Pass,0:00:46
Lionel Messi,Defensive Game,Tackle,0:00:49
Lionel Messi,Shooting Game,Shot Inside the box,0:00:54
Lionel Messi,Shooting Game,Shot Inside the box,0:00:54
Lionel Messi,Shooting Game,Shot Inside the box,0:00:54
