Name,Action Family,Action,Timestamp
Quincy Promes,Defensive Game,Tackle,0:00:00
Quincy Promes,Defensive Game,Tackle,0:00:00
Quincy Promes,Defensive Game,Tackle,0:00:00
Quincy Promes,Defensive Game,Tackle,0:00:00
Quincy Promes,Defensive Game,Tackle,0:00:00
Quincy Promes,Defensive Game,Tackle,0:00:00
Quincy Promes,Defensive Game,Tackle,0:00:00
Quincy Promes,Defensive Game,Tackle,0:00:00
Quincy Promes,Defensive Game,Tackle,0:00:00
Quincy Promes,Defensive Game,Tackle,0:00:00
Quincy Promes,Defensive Game,Tackle,0:00:00
