Name,Action Family,Action,Timestamp
1,Defensive Game,Tackle,0:00:02
3,Shooting Game,Shot Inside the box,0:00:06
87,Passing Game,Unsuccessful Pass,0:00:12
87,Passing Game,Unsuccessful Pass,0:00:13
87,Shooting Game,Shot,0:00:15
8,Shooting Game,Goal,0:00:20
8,Shooting Game,Goal,0:00:20
4,Defensive Game,Tackle,0:00:25
4,Defensive Game,Foul Conceded,0:00:27
2,Shooting Game,Shot on Target,0:00:33
2,Passing Game,Unsuccessful Pass,0:00:36
98,Defensive Game,Foul Conceded,0:00:42
87,Defensive Game,Tackle,0:00:46
98,Passing Game,Short Pass,0:00:52
98,Passing Game,Short Pass,0:00:52
1,Defensive Game,Pass Interception Won,0:00:57
4,Shooting Game,Right foot,0:01:03
8,Passing Game,Pass above ground,0:01:08
7,Defensive Game,Tackle,0:01:16
7,Defensive Game,Possession Turnover Won,0:01:19
2,Shooting Game,Header,0:01:25
2,Shooting Game,Header,0:01:25
2,Shooting Game,Set Piece,0:01:27
98,Passing Game,Pass above ground,0:01:34
87,Shooting Game,Header,0:01:42
7,Passing Game,Pass,0:01:45
7,Shooting Game,Goal,0:01:52
7,Passing Game,Unsuccessful Pass,0:01:55
8,Defensive Game,Tackle in Defensive Zone,0:02:00
8,Defensive Game,Pass Interception Won,0:02:03
9,Shooting Game,Header,0:02:10
9,Shooting Game,Set Piece,0:02:12
9,Defensive Game,Tackle,0:02:14
9,Passing Game,Pass above ground,0:02:18
2,Shooting Game,Goal,0:02:28
98,Shooting Game,Set Piece,0:02:32
98,Passing Game,Pass,0:02:35
