Name,Action Family,Action,Timestamp
11,Defensive Game,Tackle,0:00:00
11,Defensive Game,Tackle,0:00:00
11,Defensive Game,Tackle,0:00:00
11,Defensive Game,Tackle,0:00:00
11,Defensive Game,Tackle,0:00:00
11,Defensive Game,Tackle,0:00:00
11,Defensive Game,Tackle,0:00:00
11,Defensive Game,Tackle,0:00:00
Cristiano Ronaldo,Defensive Game,Tackle,0:00:00
Cristiano Ronaldo,Defensive Game,Tackle,0:00:00
Cristiano Ronaldo,Defensive Game,Tackle,0:00:00
Gonzalo Higuaín,Defensive Game,Tackle,0:00:00
Gonzalo Higuaín,Defensive Game,Tackle,0:00:00
Gonzalo Higuaín,Defensive Game,Tackle,0:00:00
Kevin De Bruyne,Shooting Game,Header,0:00:00
Kevin De Bruyne,Shooting Game,Header,0:00:00
Mesut Özil,Shooting Game,Header,0:00:03
Mesut Özil,Shooting Game,Header,0:00:04
Mesut Özil,Passing Game,Unsuccessful Pass,0:00:07
