Name,Action Family,Action,Timestamp
Lionel Messi,Defensive Game,Tackle,0:00:01
Lionel Messi,Defensive Game,Tackle,0:00:01
Lionel Messi,Defensive Game,Tackle,0:00:02
Omar Al Soma,Defensive Game,Tackle,0:00:04
Omar Al Soma,Defensive Game,Tackle,0:00:05
Omar Al Soma,Defensive Game,Tackle,0:00:05
Omar Al Soma,Passing Game,Pass,0:00:07
Omar Al Soma,Passing Game,Pass,0:00:08
Omar Al Soma,Passing Game,Pass above ground,0:00:10
Omar Al Soma,Passing Game,Pass above ground,0:00:11
Omar Al Soma,Passing Game,Pass above ground,0:00:11
Darío Cvitanich,Shooting Game,Goal,0:00:20
Darío Cvitanich,Shooting Game,Goal,0:00:20
Leo Baptistao,Shooting Game,Goal,0:00:04
David Luiz,Shooting Game,Shot on Target,0:00:11
David Luiz,Shooting Game,Shot on Target,0:00:11
David Luiz,Passing Game,Unsuccessful Pass,0:00:15
David Luiz,Passing Game,Unsuccessful Pass,0:00:16
Marc-André ter Stegen,Passing Game,Unsuccessful Pass,0:00:06
Marc-André ter Stegen,Passing Game,Unsuccessful Pass,0:00:07
Marc-André ter Stegen,Passing Game,Unsuccessful Pass,0:00:07
