Name,Action Family,Action,Timestamp
11,Defensive Game,Tackle,0:00:00
11,Defensive Game,Tackle,0:00:00
11,Shooting Game,Goal,0:00:02
44,Shooting Game,Goal,0:00:30
44,Shooting Game,Goal,0:00:31
887,Passing Game,Long Pass,0:00:35
887,Passing Game,Long Pass,0:01:08
887,Passing Game,Long Pass,0:01:08
887,Defensive Game,Foul Conceded,0:01:11
44,Shooting Game,Header,0:02:26
44,Shooting Game,Header,0:02:26
Eden Hazard,Shooting Game,Shot on Target,0:00:04
Eden Hazard,Shooting Game,Shot on Target,0:00:04
Toni Kroos,Shooting Game,Goal,0:00:10
Toni Kroos,Defensive Game,Tackle,0:00:13
Toni Kroos,Defensive Game,Pass Interception Won,0:00:15
Eden Hazard,Defensive Game,Pass Interception Won,0:00:18
Lionel Messi,Passing Game,Pass above ground,0:01:40
